Date,Tweet,User,Tweet ID,Tweet Url,Cleaned Tweet,Sentiment,Confidence
2022-12-22 05:30:25+00:00,"@_georgemoller Frontend: React, Vitejs
Backend: Express.js on Google App Engine
Database: Google Cloud Datastore

What's interesting about this stack is that it's all JavaScript and the hosting is completely free for a small amount of traffic, which works extremely well for side projects.",hieunio,1605797888885342208,https://twitter.com/hieunio/status/1605797888885342208,"@_georgemoller frontend: react, vitejs backend: express.js google app engine database: google cloud datastore what's interesting stack javascript hosting completely free small amount traffic, work extremely well side projects.",positive,0.8763783574104309
2022-12-22 02:04:49+00:00,@moshyfawn @tammergard @tannerlinsley @tan_stack @RollupJS @evanwallace @vite_js i believe its the opposite esbuild for dev and rollup for build,akramd3v,1605746147917811712,https://twitter.com/akramd3v/status/1605746147917811712,_stack _js believe opposite esbuild dev rollup build,neutral,0.8530821800231934
2022-12-22 01:09:10+00:00,"I love using @vite_js and 
 npm create vite@latest
 to create React projects faster 
Just recently #Vite4 was released and offers a new React plugin using #SWC instead of #Babel.
I let you discover it
#webdevelopment  👨‍💻 

https://t.co/oXlSgrOY6o",BenDevweb89,1605732142817808384,https://twitter.com/BenDevweb89/status/1605732142817808384,love using _js npm create vite create react project faster recently vite4 released offer new react plugin using swc instead babel. let discover webdevelopment 👨‍💻,positive,0.9726696014404297
2022-12-21 22:15:01+00:00,https://t.co/f3mODE1lqh - a quick intro to #ViteJS. Great video @odoenet. Rather read? https://t.co/jtJKYWxpe3 https://t.co/yOufdbbIQv,rob_rich,1605688316283731968,https://twitter.com/rob_rich/status/1605688316283731968,- quick intro vitejs. great video . rather read?,positive,0.9781509637832642
2022-12-21 22:06:17+00:00,@tammergard @tannerlinsley @tan_stack @RollupJS @evanwallace @vite_js It uses Rollup in dev and bundles with esbuild (by default),moshyfawn,1605686117558124545,https://twitter.com/moshyfawn/status/1605686117558124545,_stack _js us rollup dev bundle esbuild (by default),neutral,0.9204285144805908
2022-12-21 21:38:56+00:00,"ViteJS is simply the best thing to ever happen on our slow PCs.
#vite #react #CRA #webdevelopment #100DaysOfCode",R3f1lvv3_M,1605679233799401472,https://twitter.com/R3f1lvv3_M/status/1605679233799401472,vitejs simply best thing ever happen slow pcs. vite react cra webdevelopment 100daysofcode,positive,0.9762917160987854
2022-12-21 21:08:39+00:00,@moshyfawn @tannerlinsley @tan_stack @RollupJS @evanwallace @vite_js Vite is using Rollup rather than ESbuild right?,tammergard,1605671615768952832,https://twitter.com/tammergard/status/1605671615768952832,_stack _js vite using rollup rather esbuild right?,neutral,0.9432129859924316
2022-12-21 21:00:04+00:00,"@tannerlinsley @tan_stack @RollupJS @evanwallace @vite_js Ok, fair enough! I was experimenting with Vite configs not so long ago and it looked like whatever you wanna configure Rollup to do you can pass to the Vite config",moshyfawn,1605669452724326400,https://twitter.com/moshyfawn/status/1605669452724326400,"_stack _js ok, fair enough! experimenting vite configs long ago looked like whatever wanna configure rollup pas vite config",neutral,0.8203107714653015
2022-12-21 20:58:28+00:00,@moshyfawn @tan_stack @RollupJS @evanwallace @vite_js Yeah.... we have some pretty custom requirements though,tannerlinsley,1605669050666737664,https://twitter.com/tannerlinsley/status/1605669050666737664,_stack _js yeah.... pretty custom requirement though,neutral,0.6367465257644653
2022-12-21 20:57:11+00:00,@tannerlinsley @tan_stack @RollupJS @evanwallace Isn't it what @vite_js does? There's a lib mode config and it bundles your package(s) with esbuild,moshyfawn,1605668729882304515,https://twitter.com/moshyfawn/status/1605668729882304515,_stack _js does? there's lib mode config bundle package(s) esbuild,neutral,0.9262852668762207
